Amigima,1
Amyotopic Lateral Scletosis,1
CHF (Congestive Heart Failure),1
CHF Pulmonary Edema,1
Complete Unilateral Cleft Lip 7 Cleft Palate,1
Really Sick,1
Total Left Hip Replacement,1
Subarachroid Hemorrhage,2
Syncope NYD,2
Rt. Knee Replacement,2
Rheumataoid Arthritis,2
Paranoid Schizophrenia,2
Paranoid Schizophrenic,2
Hiatal Hernia,2
"Interstitial, Pulmonary Edema",2
Kock Pouch Urinary Diversion,2
Left Shoulder Rotator Cuff Repair,2
M.V.A,2
Major Depression,2
MVA HI,2
Osteo Arthtitis Knee,2
C-Section Delivery Day 4,2
Cytutus,2
Ectopic Pregnancy,2
Epilepsy,2
Fever N.Y.D.,2
Fractured Right Tibia,2
CHF Congestive Heart Failure,2
Ca Prostate,2
Angina Pectoris,2
Asthma Exacerbation,2
Biliary Colic,2
1St Stage Labour,2
3rd Degree Burn To Face,2
Urinary Tract Infection,2
Tonsilectomy,3
Acute Leukemia,3
Acute Renal Failure,3
Back Injury,3
Anorexia Nervosa,3
Ca. Of Blatter,3
Cancer Of The Colon,3
Bowel Obstruction,3
Broken Hip,3
Bronchiolitis,3
Cardiovascular Disease,3
Chest Infection,3
Fractured Hip (Right),3
Fracture Rt Radius,3
Epigastric Pain,3
Cva-Leftside,3
COPD,3
COPD-Chronicdostructive Pulmonary Disease,3
Chronic Bronchitis,3
Chronic Caugh Disease,3
Chronic Obtrusive Pulmonary Disease,3
Obsessive - Compulsive Order,3
Myocardial Infarction (MI),3
MI,3
Manic Depression,3
Lung Cancer (Rt. Lung),3
L4-Lf Spinal Fusion,3
Ineffective Breathin Pattern R/T Fluid Accumulatio,3
Infection,3
Gallbladder Removed,3
Glomerulonephritis,3
Post Partum Hemmorage,3
Pre-Eclampsia,3
Pneumothorax,3
Poisoning,3
Respiratory Failure,3
Ruptured Appendicitis,3
Schizophrenia,3
Severe Rlq Pain,3
Total Lt Hip Replacement Because Of Osteoarthritis,3
Thrombocytopenia,4
"Sinus Tachcardia,",4
Stroke,4
Second & Third Degree Burns To Right Arm/Both Legs,4
Sepis,4
Rul Pneumonia,4
"Parkinsons, Rheumatoid Arthritis, Total Hip Replac",4
Peptic Ulcer,4
Quarian Cyst,4
Repair Stab Wound,4
Pyclonephritis,4
Fractured Right Humeral Head,4
Head Injury - Closed,4
L CVA,4
L. Calf Pain,4
Intracerebral Bleed,4
Lwr Right Quad Pain That Radiates Through Abdomen,4
Left Side CVA,4
Multiple Fractures Of R Scapula. Insertion Of Pins,4
Obsessive - Compulsive Disorder,4
M.I.,4
Orthopnea,4
"Chronic Schizophrenia,Psychosis,Paranoia",4
Cholelithiasis,4
Coronary Artary Disease / Lt Sided Weakness,4
Complete Unilateral Cleft Lip & Cleft Palate,4
Deep Vein Thrombosis,4
"Dehydradion, Vomiting",4
"Depression, Dementia",4
Diabetes,4
Fracture To Left Femur,4
Fractured Left Leg,4
Fibromyalgia,4
Diverticulitis,4
Cardiac Catheterization,4
